cod,message,cnt,city.id,city.name,city.coord.lat,city.coord.lon,city.country,city.population,city.timezone,city.sunrise,city.sunset,Date-Time,Temperature,Feels Like,Min Temperature,Max Temperature,Pressure,Humidity,Weather Description,Wind Speed,Wind Degree
200.0,0.0,40.0,2643743.0,London,51.5085,-0.1257,GB,1000000.0,3600.0,1692507206.0,1692558894.0,2023-08-24 12:00:00,298.07,297.77,298.07,298.07,1012,44,overcast clouds,1.74,249
200.0,0.0,40.0,2643743.0,London,51.5085,-0.1257,GB,1000000.0,3600.0,1692507206.0,1692558894.0,2023-08-24 15:00:00,299.1,299.1,299.1,299.1,1010,43,overcast clouds,2.84,263
200.0,0.0,40.0,2643743.0,London,51.5085,-0.1257,GB,1000000.0,3600.0,1692507206.0,1692558894.0,2023-08-24 18:00:00,294.49,294.38,294.49,294.49,1010,65,overcast clouds,4.57,299
200.0,0.0,40.0,2643743.0,London,51.5085,-0.1257,GB,1000000.0,3600.0,1692507206.0,1692558894.0,2023-08-24 21:00:00,291.84,291.28,291.84,291.84,1010,58,light rain,4.25,284
200.0,0.0,40.0,2643743.0,London,51.5085,-0.1257,GB,1000000.0,3600.0,1692507206.0,1692558894.0,2023-08-25 00:00:00,289.01,288.27,289.01,289.01,1010,62,overcast clouds,3.96,309
200.0,0.0,40.0,2643743.0,London,51.5085,-0.1257,GB,1000000.0,3600.0,1692507206.0,1692558894.0,2023-08-25 03:00:00,287.14,286.45,287.14,287.14,1009,71,few clouds,3.39,278
200.0,0.0,40.0,2643743.0,London,51.5085,-0.1257,GB,1000000.0,3600.0,1692507206.0,1692558894.0,2023-08-25 06:00:00,286.3,285.68,286.3,286.3,1009,77,clear sky,3.52,269
200.0,0.0,40.0,2643743.0,London,51.5085,-0.1257,GB,1000000.0,3600.0,1692507206.0,1692558894.0,2023-08-25 09:00:00,289.57,288.86,289.57,289.57,1008,61,few clouds,4.34,269
200.0,0.0,40.0,2643743.0,London,51.5085,-0.1257,GB,1000000.0,3600.0,1692507206.0,1692558894.0,2023-08-25 12:00:00,291.96,291.07,291.96,291.96,1007,45,broken clouds,4.52,267
200.0,0.0,40.0,2643743.0,London,51.5085,-0.1257,GB,1000000.0,3600.0,1692507206.0,1692558894.0,2023-08-25 15:00:00,292.22,291.49,292.22,292.22,1006,50,overcast clouds,4.51,247
200.0,0.0,40.0,2643743.0,London,51.5085,-0.1257,GB,1000000.0,3600.0,1692507206.0,1692558894.0,2023-08-25 18:00:00,290.27,289.76,290.27,290.27,1005,66,light rain,4.34,262
